Queryid,Rewritten_Query
19," WITH filtered_tx25 AS ( SELECT * FROM store_sales WHERE ss_item_sk IN ( SELECT i_item_sk FROM item WHERE i_manager_id = 14 ) AND ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_moy = 11 AND d_year = 2002 ) ) SELECT i_brand_id brand_id, i_brand brand, i_manufact_id, i_manufact, SUM(ss_ext_sales_price) ext_price FROM filtered_tx25, date_dim, item, customer, customer_address, store WHERE d_date_sk = filtered_tx25.ss_sold_date_sk AND filtered_tx25.ss_item_sk = i_item_sk AND i_manager_id = 14 AND d_moy = 11 AND d_year = 2002 AND filtered_tx25.ss_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND SUBSTR(ca_zip, 1, 5) <> SUBSTR(s_zip, 1, 5) AND filtered_tx25.ss_store_sk = s_store_sk GROUP BY i_brand, i_brand_id, i_manufact_id, i_manufact ORDER BY ext_price DESC, i_brand, i_brand_id, i_manufact_id, i_manufact LIMIT 100; "
20," with filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('2002-06-18' as date) and (cast('2002-06-18' as date) + interval '30' day) ) ) select i_item_id, i_item_desc, i_category, i_class, i_current_price, sum(cs_ext_sales_price) as itemrevenue, sum(cs_ext_sales_price) * 100 / sum(sum(cs_ext_sales_price)) over (partition by i_class) as revenueratio from filtered_catalog_sales as catalog_sales, item, date_dim where cs_item_sk = i_item_sk and i_category in ('Books', 'Music', 'Sports') and cs_sold_date_sk = d_date_sk and d_date between cast('2002-06-18' as date) and (cast('2002-06-18' as date) + interval '30' day) group by i_item_id, i_item_desc, i_category, i_class, i_current_price order by i_category, i_class, i_item_id, i_item_desc, revenueratio limit 100; "
21," WITH filtered_inventory AS ( SELECT * FROM inventory WHERE inv_item_sk IN ( SELECT i_item_sk FROM item WHERE i_current_price BETWEEN 0.99 AND 1.49 ) AND inv_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_date BETWEEN (CAST('1999-06-22' AS date) - INTERVAL '30' DAY) AND (CAST('1999-06-22' AS date) + INTERVAL '30' DAY) ) ) SELECT w_warehouse_name, i_item_id, SUM(CASE WHEN (CAST(d_date AS date) < CAST('1999-06-22' AS date)) THEN inv_quantity_on_hand ELSE 0 END) AS inv_before, SUM(CASE WHEN (CAST(d_date AS date) >= CAST('1999-06-22' AS date)) THEN inv_quantity_on_hand ELSE 0 END) AS inv_after FROM filtered_inventory JOIN warehouse ON inv_warehouse_sk = w_warehouse_sk JOIN item ON i_item_sk = inv_item_sk JOIN date_dim ON inv_date_sk = d_date_sk WHERE i_current_price BETWEEN 0.99 AND 1.49 AND d_date BETWEEN (CAST('1999-06-22' AS date) - INTERVAL '30' DAY) AND (CAST('1999-06-22' AS date) + INTERVAL '30' DAY) GROUP BY w_warehouse_name, i_item_id HAVING (CASE WHEN SUM(CASE WHEN (CAST(d_date AS date) < CAST('1999-06-22' AS date)) THEN inv_quantity_on_hand ELSE 0 END) > 0 THEN SUM(CASE WHEN (CAST(d_date AS date) >= CAST('1999-06-22' AS date)) THEN inv_quantity_on_hand ELSE 0 END) / SUM(CASE WHEN (CAST(d_date AS date) < CAST('1999-06-22' AS date)) THEN inv_quantity_on_hand ELSE 0 END) ELSE NULL END) BETWEEN 2.0/3.0 AND 3.0/2.0 ORDER BY w_warehouse_name, i_item_id LIMIT 100; "
22,"with filtered_inventory as ( select * from inventory where inv_date_sk in ( select d_date_sk from date_dim where d_month_seq between 1200 and 1200 + 11 ) ) select i_product_name, i_brand, i_class, i_category, avg(inv_quantity_on_hand) qoh from filtered_inventory as inventory, date_dim, item where inv_date_sk = d_date_sk and inv_item_sk = i_item_sk and d_month_seq between 1200 and 1200 + 11 group by rollup(i_product_name, i_brand, i_class, i_category) order by qoh, i_product_name, i_brand, i_class, i_category limit 100; "
25," WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d1.d_date_sk FROM date_dim d1 WHERE d1.d_moy = 4 AND d1.d_year = 1999 ) ), filtered_store_returns AS ( SELECT * FROM store_returns WHERE sr_returned_date_sk IN ( SELECT d2.d_date_sk FROM date_dim d2 WHERE d2.d_moy BETWEEN 4 AND 10 AND d2.d_year = 1999 ) ), filtered_catalog_sales AS ( SELECT * FROM catalog_sales WHERE cs_sold_date_sk IN ( SELECT d3.d_date_sk FROM date_dim d3 WHERE d3.d_moy BETWEEN 4 AND 10 AND d3.d_year = 1999 ) ) SELECT i_item_id, i_item_desc, s_store_id, s_store_name, MAX(ss_net_profit) AS store_sales_profit, MAX(sr_net_loss) AS store_returns_loss, MAX(cs_net_profit) AS catalog_sales_profit FROM filtered_store_sales JOIN filtered_store_returns ON ss_customer_sk = sr_customer_sk AND ss_item_sk = sr_item_sk AND ss_ticket_number = sr_ticket_number JOIN filtered_catalog_sales ON sr_customer_sk = cs_bill_customer_sk AND sr_item_sk = cs_item_sk JOIN date_dim d1 ON d1.d_date_sk = ss_sold_date_sk JOIN date_dim d2 ON sr_returned_date_sk = d2.d_date_sk JOIN date_dim d3 ON cs_sold_date_sk = d3.d_date_sk JOIN store ON s_store_sk = ss_store_sk JOIN item ON i_item_sk = ss_item_sk WHERE d1.d_moy = 4 AND d1.d_year = 1999 AND d2.d_moy BETWEEN 4 AND 10 AND d2.d_year = 1999 AND d3.d_moy BETWEEN 4 AND 10 AND d3.d_year = 1999 GROUP BY i_item_id, i_item_desc, s_store_id, s_store_name ORDER BY i_item_id, i_item_desc, s_store_id, s_store_name LIMIT 100;  "
26," with filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in (select d_date_sk from date_dim where d_year = 2002) ) select i_item_id, avg(cs_quantity) agg1, avg(cs_list_price) agg2, avg(cs_coupon_amt) agg3, avg(cs_sales_price) agg4 from filtered_catalog_sales as catalog_sales, customer_demographics, date_dim, item, promotion where cs_sold_date_sk = d_date_sk and cs_item_sk = i_item_sk and cs_bill_cdemo_sk = cd_demo_sk and cs_promo_sk = p_promo_sk and cd_gender = 'M' and cd_marital_status = 'W' and cd_education_status = 'Unknown' and (p_channel_email = 'N' or p_channel_event = 'N') and d_year = 2002 group by i_item_id order by i_item_id limit 100; "
27," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in (select d_date_sk from date_dim where d_year = 1999) ) select i_item_id, s_state, grouping(s_state) g_state, avg(ss_quantity) agg1, avg(ss_list_price) agg2, avg(ss_coupon_amt) agg3, avg(ss_sales_price) agg4 from filtered_store_sales as store_sales, customer_demographics, date_dim, store, item where ss_sold_date_sk = d_date_sk and ss_item_sk = i_item_sk and ss_store_sk = s_store_sk and ss_cdemo_sk = cd_demo_sk and cd_gender = 'M' and cd_marital_status = 'W' and cd_education_status = 'Secondary' and d_year = 1999 and s_state in ('TN','TN','TN','TN','TN','TN') group by rollup (i_item_id, s_state) order by i_item_id, s_state limit 100; "
28," with cte as ( select * from store_sales where (ss_quantity between 0 and 5 and (ss_list_price between 107 and 117 or ss_coupon_amt between 1319 and 2319 or ss_wholesale_cost between 60 and 80)) or (ss_quantity between 6 and 10 and (ss_list_price between 23 and 33 or ss_coupon_amt between 825 and 1825 or ss_wholesale_cost between 43 and 63)) or (ss_quantity between 11 and 15 and (ss_list_price between 74 and 84 or ss_coupon_amt between 4381 and 5381 or ss_wholesale_cost between 57 and 77)) or (ss_quantity between 16 and 20 and (ss_list_price between 89 and 99 or ss_coupon_amt between 3117 and 4117 or ss_wholesale_cost between 68 and 88)) or (ss_quantity between 21 and 25 and (ss_list_price between 58 and 68 or ss_coupon_amt between 9402 and 10402 or ss_wholesale_cost between 38 and 58)) or (ss_quantity between 26 and 30 and (ss_list_price between 64 and 74 or ss_coupon_amt between 5792 and 6792 or ss_wholesale_cost between 73 and 93)) ) select * from ( select avg(ss_list_price) B1_LP, count(ss_list_price) B1_CNT, count(distinct ss_list_price) B1_CNTD from cte where ss_quantity between 0 and 5 and (ss_list_price between 107 and 117 or ss_coupon_amt between 1319 and 2319 or ss_wholesale_cost between 60 and 80) ) B1, ( select avg(ss_list_price) B2_LP, count(ss_list_price) B2_CNT, count(distinct ss_list_price) B2_CNTD from cte where ss_quantity between 6 and 10 and (ss_list_price between 23 and 33 or ss_coupon_amt between 825 and 1825 or ss_wholesale_cost between 43 and 63) ) B2, ( select avg(ss_list_price) B3_LP, count(ss_list_price) B3_CNT, count(distinct ss_list_price) B3_CNTD from cte where ss_quantity between 11 and 15 and (ss_list_price between 74 and 84 or ss_coupon_amt between 4381 and 5381 or ss_wholesale_cost between 57 and 77) ) B3, ( select avg(ss_list_price) B4_LP, count(ss_list_price) B4_CNT, count(distinct ss_list_price) B4_CNTD from cte where ss_quantity between 16 and 20 and (ss_list_price between 89 and 99 or ss_coupon_amt between 3117 and 4117 or ss_wholesale_cost between 68 and 88) ) B4, ( select avg(ss_list_price) B5_LP, count(ss_list_price) B5_CNT, count(distinct ss_list_price) B5_CNTD from cte where ss_quantity between 21 and 25 and (ss_list_price between 58 and 68 or ss_coupon_amt between 9402 and 10402 or ss_wholesale_cost between 38 and 58) ) B5, ( select avg(ss_list_price) B6_LP, count(ss_list_price) B6_CNT, count(distinct ss_list_price) B6_CNTD from cte where ss_quantity between 26 and 30 and (ss_list_price between 64 and 74 or ss_coupon_amt between 5792 and 6792 or ss_wholesale_cost between 73 and 93) ) B6 limit 100; "
30," WITH customer_total_return AS ( SELECT wr_returning_customer_sk AS ctr_customer_sk, ca_state AS ctr_state, SUM(wr_return_amt) AS ctr_total_return FROM web_returns, date_dim, customer_address WHERE wr_returned_date_sk = d_date_sk AND d_year = 2000 AND wr_returning_addr_sk = ca_address_sk GROUP BY wr_returning_customer_sk, ca_state ), state_avg_return AS ( SELECT ctr_state, AVG(ctr_total_return) * 1.2 AS avg_total_return FROM customer_total_return GROUP BY ctr_state ) SELECT c_customer_id, c_salutation, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_day, c_birth_month, c_birth_year, c_birth_country, c_login, c_email_address, c_last_review_date, ctr1.ctr_total_return FROM customer_total_return ctr1 JOIN customer ON ctr1.ctr_customer_sk = c_customer_sk JOIN customer_address ON ca_address_sk = c_current_addr_sk JOIN state_avg_return sar ON ctr1.ctr_state = sar.ctr_state WHERE ctr1.ctr_total_return > sar.avg_total_return AND ca_state = 'IN' ORDER BY c_customer_id, c_salutation, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_day, c_birth_month, c_birth_year, c_birth_country, c_login, c_email_address, c_last_review_date, ctr_total_return LIMIT 100; "
31,"  WITH pre_filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_qoy IN (1, 2, 3) AND d_year = 1999 ) ), pre_filtered_web_sales AS ( SELECT * FROM web_sales WHERE ws_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_qoy IN (1, 2, 3) AND d_year = 1999 ) ), ss AS ( SELECT ca_county, d_qoy, d_year, SUM(ss_ext_sales_price) AS store_sales FROM pre_filtered_store_sales, date_dim, customer_address WHERE ss_sold_date_sk = d_date_sk AND ss_addr_sk = ca_address_sk GROUP BY ca_county, d_qoy, d_year ), ws AS ( SELECT ca_county, d_qoy, d_year, SUM(ws_ext_sales_price) AS web_sales FROM pre_filtered_web_sales, date_dim, customer_address WHERE ws_sold_date_sk = d_date_sk AND ws_bill_addr_sk = ca_address_sk GROUP BY ca_county, d_qoy, d_year ) SELECT ss1.ca_county, ss1.d_year, ws2.web_sales / ws1.web_sales AS web_q1_q2_increase, ss2.store_sales / ss1.store_sales AS store_q1_q2_increase, ws3.web_sales / ws2.web_sales AS web_q2_q3_increase, ss3.store_sales / ss2.store_sales AS store_q2_q3_increase FROM ss ss1, ss ss2, ss ss3, ws ws1, ws ws2, ws ws3 WHERE ss1.d_qoy = 1 AND ss1.d_year = 1999 AND ss1.ca_county = ss2.ca_county AND ss2.d_qoy = 2 AND ss2.d_year = 1999 AND ss2.ca_county = ss3.ca_county AND ss3.d_qoy = 3 AND ss3.d_year = 1999 AND ss1.ca_county = ws1.ca_county AND ws1.d_qoy = 1 AND ws1.d_year = 1999 AND ws1.ca_county = ws2.ca_county AND ws2.d_qoy = 2 AND ws2.d_year = 1999 AND ws1.ca_county = ws3.ca_county AND ws3.d_qoy = 3 AND ws3.d_year = 1999 AND CASE WHEN ws1.web_sales > 0 THEN ws2.web_sales / ws1.web_sales ELSE NULL END > CASE WHEN ss1.store_sales > 0 THEN ss2.store_sales / ss1.store_sales ELSE NULL END AND CASE WHEN ws2.web_sales > 0 THEN ws3.web_sales / ws2.web_sales ELSE NULL END > CASE WHEN ss2.store_sales > 0 THEN ss3.store_sales / ss2.store_sales ELSE NULL END ORDER BY store_q2_q3_increase;  "
33," with pre_filtered_store as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2001 and d_moy = 3 ) and ss_addr_sk in ( select ca_address_sk from customer_address where ca_gmt_offset = -5 ) ), pre_filtered_catalog as ( select * from catalog_sales where cs_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2001 and d_moy = 3 ) and cs_bill_addr_sk in ( select ca_address_sk from customer_address where ca_gmt_offset = -5 ) ), pre_filtered_web as ( select * from web_sales where ws_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2001 and d_moy = 3 ) and ws_bill_addr_sk in ( select ca_address_sk from customer_address where ca_gmt_offset = -5 ) ), ss as ( select i_manufact_id, sum(ss_ext_sales_price) total_sales from pre_filtered_store, date_dim, customer_address, item where i_manufact_id in ( select i_manufact_id from item where i_category in ('Books') ) and ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 3 and ss_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id ), cs as ( select i_manufact_id, sum(cs_ext_sales_price) total_sales from pre_filtered_catalog, date_dim, customer_address, item where i_manufact_id in ( select i_manufact_id from item where i_category in ('Books') ) and cs_item_sk = i_item_sk and cs_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 3 and cs_bill_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id ), ws as ( select i_manufact_id, sum(ws_ext_sales_price) total_sales from pre_filtered_web, date_dim, customer_address, item where i_manufact_id in ( select i_manufact_id from item where i_category in ('Books') ) and ws_item_sk = i_item_sk and ws_sold_date_sk = d_date_sk and d_year = 2001 and d_moy = 3 and ws_bill_addr_sk = ca_address_sk and ca_gmt_offset = -5 group by i_manufact_id ) select i_manufact_id, sum(total_sales) total_sales from ( select * from ss union all select * from cs union all select * from ws ) tmp1 group by i_manufact_id order by total_sales limit 100;  "
34," WITH filtered_tx25 AS ( SELECT * FROM store_sales WHERE store_sales.ss_sold_date_sk IN ( SELECT date_dim.d_date_sk FROM date_dim WHERE (date_dim.d_dom BETWEEN 1 AND 3 OR date_dim.d_dom BETWEEN 25 AND 28) AND date_dim.d_year IN (2000, 2001, 2002) ) AND store_sales.ss_store_sk IN ( SELECT store.s_store_sk FROM store WHERE store.s_county IN ('Williamson County') ) AND store_sales.ss_hdemo_sk IN ( SELECT household_demographics.hd_demo_sk FROM household_demographics WHERE (household_demographics.hd_buy_potential = '1001-5000' OR household_demographics.hd_buy_potential = '0-500') AND household_demographics.hd_vehicle_count > 0 AND (CASE WHEN household_demographics.hd_vehicle_count > 0 THEN household_demographics.hd_dep_count / household_demographics.hd_vehicle_count ELSE NULL END) > 1.2 ) ) SELECT c_last_name, c_first_name, c_salutation, c_preferred_cust_flag, ss_ticket_number, cnt FROM ( SELECT ss_ticket_number, ss_customer_sk, COUNT(*) AS cnt FROM filtered_tx25, date_dim, store, household_demographics WHERE filtered_tx25.ss_sold_date_sk = date_dim.d_date_sk AND filtered_tx25.ss_store_sk = store.s_store_sk AND filtered_tx25.ss_hdemo_sk = household_demographics.hd_demo_sk AND (date_dim.d_dom BETWEEN 1 AND 3 OR date_dim.d_dom BETWEEN 25 AND 28) AND (household_demographics.hd_buy_potential = '1001-5000' OR household_demographics.hd_buy_potential = '0-500') AND household_demographics.hd_vehicle_count > 0 AND (CASE WHEN household_demographics.hd_vehicle_count > 0 THEN household_demographics.hd_dep_count / household_demographics.hd_vehicle_count ELSE NULL END) > 1.2 AND date_dim.d_year IN (2000, 2001, 2002) AND store.s_county IN ('Williamson County') GROUP BY ss_ticket_number, ss_customer_sk ) dn, customer WHERE ss_customer_sk = c_customer_sk AND cnt BETWEEN 15 AND 20 ORDER BY c_last_name, c_first_name, c_salutation, c_preferred_cust_flag DESC, ss_ticket_number; "
35," select ca_state, cd_gender, cd_marital_status, cd_dep_count, count(*) cnt1, avg(cd_dep_count), stddev_samp(cd_dep_count), sum(cd_dep_count), cd_dep_employed_count, count(*) cnt2, avg(cd_dep_employed_count), stddev_samp(cd_dep_employed_count), sum(cd_dep_employed_count), cd_dep_college_count, count(*) cnt3, avg(cd_dep_college_count), stddev_samp(cd_dep_college_count), sum(cd_dep_college_count) from customer c, customer_address ca, customer_demographics where c.c_current_addr_sk = ca.ca_address_sk and cd_demo_sk = c.c_current_cdemo_sk and c.c_customer_sk in ( select ss_customer_sk from store_sales, date_dim where ss_sold_date_sk = d_date_sk and d_year = 1999 and d_qoy < 4 ) and ( c.c_customer_sk in ( select ws_bill_customer_sk from web_sales, date_dim where ws_sold_date_sk = d_date_sk and d_year = 1999 and d_qoy < 4 ) or c.c_customer_sk in ( select cs_ship_customer_sk from catalog_sales, date_dim where cs_sold_date_sk = d_date_sk and d_year = 1999 and d_qoy < 4 ) ) group by ca_state, cd_gender, cd_marital_status, cd_dep_count, cd_dep_employed_count, cd_dep_college_count order by ca_state, cd_gender, cd_marital_status, cd_dep_count, cd_dep_employed_count, cd_dep_college_count limit 100; "
37," select i_item_id, i_item_desc, i_current_price from item, inventory, date_dim, catalog_sales where i_current_price between 29 and 29 + 30 and inv_item_sk = i_item_sk and d_date_sk = inv_date_sk and d_date between cast('2002-03-29' as date) and (cast('2002-03-29' as date) + interval '60' day) and exists (select 1 from (values (393), (174), (251), (445)) as v(i_manufact_id) where v.i_manufact_id = item.i_manufact_id) and inv_quantity_on_hand between 100 and 500 and cs_item_sk = i_item_sk group by i_item_id, i_item_desc, i_current_price order by i_item_id limit 100; "
40," with filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in ( select d_date_sk from date_dim where d_date between (cast ('2001-05-02' as date) - interval '30' day) and (cast ('2001-05-02' as date) + interval '30' day) ) ) select w_state, i_item_id, sum(case when (cast(d_date as date) < cast ('2001-05-02' as date)) then cs_sales_price - coalesce(cr_refunded_cash, 0) else 0 end) as sales_before, sum(case when (cast(d_date as date) >= cast ('2001-05-02' as date)) then cs_sales_price - coalesce(cr_refunded_cash, 0) else 0 end) as sales_after from filtered_catalog_sales left outer join catalog_returns on (cs_order_number = cr_order_number and cs_item_sk = cr_item_sk), warehouse, item, date_dim where i_current_price between 0.99 and 1.49 and i_item_sk = cs_item_sk and cs_warehouse_sk = w_warehouse_sk and cs_sold_date_sk = d_date_sk and d_date between (cast ('2001-05-02' as date) - interval '30' day) and (cast ('2001-05-02' as date) + interval '30' day) group by w_state, i_item_id order by w_state, i_item_id limit 100; "
41," SELECT DISTINCT i_product_name FROM item i1 WHERE i_manufact_id BETWEEN 704 AND 744 AND EXISTS ( SELECT 1 FROM item i2 WHERE i2.i_manufact = i1.i_manufact AND ( (i2.i_category = 'Women' AND i2.i_color IN ('forest', 'lime') AND i2.i_units IN ('Pallet', 'Pound') AND i2.i_size IN ('economy', 'small')) OR (i2.i_category = 'Women' AND i2.i_color IN ('navy', 'slate') AND i2.i_units IN ('Gross', 'Bunch') AND i2.i_size IN ('extra large', 'petite')) OR (i2.i_category = 'Men' AND i2.i_color IN ('powder', 'sky') AND i2.i_units IN ('Dozen', 'Lb') AND i2.i_size IN ('N/A', 'large')) OR (i2.i_category = 'Men' AND i2.i_color IN ('maroon', 'smoke') AND i2.i_units IN ('Ounce', 'Case') AND i2.i_size IN ('economy', 'small')) OR (i2.i_category = 'Women' AND i2.i_color IN ('dark', 'aquamarine') AND i2.i_units IN ('Ton', 'Tbl') AND i2.i_size IN ('economy', 'small')) OR (i2.i_category = 'Women' AND i2.i_color IN ('frosted', 'plum') AND i2.i_units IN ('Dram', 'Box') AND i2.i_size IN ('extra large', 'petite')) OR (i2.i_category = 'Men' AND i2.i_color IN ('papaya', 'peach') AND i2.i_units IN ('Bundle', 'Carton') AND i2.i_size IN ('N/A', 'large')) OR (i2.i_category = 'Men' AND i2.i_color IN ('firebrick', 'sienna') AND i2.i_units IN ('Cup', 'Each') AND i2.i_size IN ('economy', 'small')) ) ) ORDER BY i_product_name LIMIT 100;"
42," WITH filtered_tx25 AS ( SELECT * FROM store_sales WHERE store_sales.ss_sold_date_sk IN ( SELECT dt.d_date_sk FROM date_dim dt WHERE dt.d_moy = 11 ) AND store_sales.ss_item_sk IN ( SELECT item.i_item_sk FROM item WHERE item.i_manager_id = 1 ) ) SELECT dt.d_year, item.i_category_id, item.i_category, SUM(store_sales.ss_ext_sales_price) FROM filtered_tx25 AS store_sales JOIN date_dim dt ON dt.d_date_sk = store_sales.ss_sold_date_sk JOIN item ON store_sales.ss_item_sk = item.i_item_sk WHERE item.i_manager_id = 1 AND dt.d_moy = 11 AND dt.d_year = 1998 GROUP BY dt.d_year, item.i_category_id, item.i_category ORDER BY SUM(store_sales.ss_ext_sales_price) DESC, dt.d_year, item.i_category_id, item.i_category LIMIT 100;  "
43," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in (select d_date_sk from date_dim where d_year = 2000) ) select s_store_name, s_store_id, sum(case when (d_day_name='Sunday') then ss_sales_price else null end) sun_sales, sum(case when (d_day_name='Monday') then ss_sales_price else null end) mon_sales, sum(case when (d_day_name='Tuesday') then ss_sales_price else null end) tue_sales, sum(case when (d_day_name='Wednesday') then ss_sales_price else null end) wed_sales, sum(case when (d_day_name='Thursday') then ss_sales_price else null end) thu_sales, sum(case when (d_day_name='Friday') then ss_sales_price else null end) fri_sales, sum(case when (d_day_name='Saturday') then ss_sales_price else null end) sat_sales from date_dim, filtered_store_sales, store where d_date_sk = ss_sold_date_sk and s_store_sk = ss_store_sk and s_gmt_offset = -5 and d_year = 2000 group by s_store_name, s_store_id order by s_store_name, s_store_id, sun_sales, mon_sales, tue_sales, wed_sales, thu_sales, fri_sales, sat_sales limit 100; "
44," WITH RankedItems AS ( SELECT ss_item_sk AS item_sk, AVG(ss_net_profit) AS avg_profit, RANK() OVER (ORDER BY AVG(ss_net_profit) DESC) AS desc_rnk, RANK() OVER (ORDER BY AVG(ss_net_profit) ASC) AS asc_rnk FROM store_sales WHERE ss_store_sk = 4 GROUP BY ss_item_sk HAVING AVG(ss_net_profit) > 0.9 * ( SELECT AVG(ss_net_profit) FROM store_sales WHERE ss_store_sk = 4 AND ss_hdemo_sk IS NOT NULL GROUP BY ss_store_sk ) ) SELECT asc_items.rnk, i1.i_product_name AS best_performing, i2.i_product_name AS worst_performing FROM (SELECT item_sk, asc_rnk AS rnk FROM RankedItems WHERE asc_rnk < 11) asc_items JOIN (SELECT item_sk, desc_rnk AS rnk FROM RankedItems WHERE desc_rnk < 11) desc_items ON asc_items.rnk = desc_items.rnk JOIN item i1 ON i1.i_item_sk = asc_items.item_sk JOIN item i2 ON i2.i_item_sk = desc_items.item_sk ORDER BY asc_items.rnk LIMIT 100; "
45," WITH filtered_web_sales AS ( SELECT * FROM web_sales WHERE ws_item_sk IN ( SELECT i_item_sk FROM item WHERE i_item_id IN ( SELECT i_item_id FROM item WHERE i_item_sk IN (2, 3, 5, 7, 11, 13, 17, 19, 23, 29) ) ) ) SELECT ca_zip, ca_city, SUM(ws_sales_price) FROM filtered_web_sales JOIN customer ON filtered_web_sales.ws_bill_customer_sk = customer.c_customer_sk JOIN customer_address ON customer.c_current_addr_sk = customer_address.ca_address_sk JOIN date_dim ON filtered_web_sales.ws_sold_date_sk = date_dim.d_date_sk WHERE ( SUBSTR(customer_address.ca_zip, 1, 5) IN ('85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792') OR filtered_web_sales.ws_item_sk IN ( SELECT i_item_sk FROM item WHERE i_item_id IN ( SELECT i_item_id FROM item WHERE i_item_sk IN (2, 3, 5, 7, 11, 13, 17, 19, 23, 29) ) ) ) AND date_dim.d_qoy = 1 AND date_dim.d_year = 2000 GROUP BY ca_zip, ca_city ORDER BY ca_zip, ca_city LIMIT 100; "
46,"WITH filtered_tx25 AS ( SELECT * FROM store_sales WHERE ss_hdemo_sk IN ( SELECT hd_demo_sk FROM household_demographics WHERE hd_dep_count = 8 OR hd_vehicle_count = 0 ) AND ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_dow IN (4, 0) AND d_year IN (2000, 2001, 2002) ) AND ss_store_sk IN ( SELECT s_store_sk FROM store WHERE s_city IN ('Midway', 'Fairview') ) ) SELECT c_last_name, c_first_name, ca_city, bought_city, ss_ticket_number, amt, profit FROM ( SELECT ss_ticket_number, ss_customer_sk, ca_city AS bought_city, SUM(ss_coupon_amt) AS amt, SUM(ss_net_profit) AS profit FROM filtered_tx25, date_dim, store, household_demographics, customer_address WHERE filtered_tx25.ss_sold_date_sk = date_dim.d_date_sk AND filtered_tx25.ss_store_sk = store.s_store_sk AND filtered_tx25.ss_hdemo_sk = household_demographics.hd_demo_sk AND filtered_tx25.ss_addr_sk = customer_address.ca_address_sk AND (household_demographics.hd_dep_count = 8 OR household_demographics.hd_vehicle_count = 0) AND date_dim.d_dow IN (4, 0) AND date_dim.d_year IN (2000, 2001, 2002) AND store.s_city IN ('Midway', 'Fairview') GROUP BY ss_ticket_number, ss_customer_sk, ss_addr_sk, ca_city ) dn, customer, customer_address AS current_addr WHERE ss_customer_sk = c_customer_sk AND customer.c_current_addr_sk = current_addr.ca_address_sk AND current_addr.ca_city <> bought_city ORDER BY c_last_name, c_first_name, ca_city, bought_city, ss_ticket_number LIMIT 100;  "
47," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_year = 2000 or (d_year = 2000-1 and d_moy = 12) or (d_year = 2000+1 and d_moy = 1) ) ), v1 as ( select i_category, i_brand, s_store_name, s_company_name, d_year, d_moy, sum(ss_sales_price) sum_sales, avg(sum(ss_sales_price)) over (partition by i_category, i_brand, s_store_name, s_company_name, d_year) avg_monthly_sales, rank() over (partition by i_category, i_brand, s_store_name, s_company_name order by d_year, d_moy) rn from item, filtered_store_sales, date_dim, store where ss_item_sk = i_item_sk and ss_sold_date_sk = d_date_sk and ss_store_sk = s_store_sk and (d_year = 2000 or (d_year = 2000-1 and d_moy = 12) or (d_year = 2000+1 and d_moy = 1)) group by i_category, i_brand, s_store_name, s_company_name, d_year, d_moy ), v2 as ( select v1.s_store_name, v1.s_company_name, v1.d_year, v1.avg_monthly_sales, v1.sum_sales, v1_lag.sum_sales psum, v1_lead.sum_sales nsum from v1, v1 v1_lag, v1 v1_lead where v1.i_category = v1_lag.i_category and v1.i_category = v1_lead.i_category and v1.i_brand = v1_lag.i_brand and v1.i_brand = v1_lead.i_brand and v1.s_store_name = v1_lag.s_store_name and v1.s_store_name = v1_lead.s_store_name and v1.s_company_name = v1_lag.s_company_name and v1.s_company_name = v1_lead.s_company_name and v1.rn = v1_lag.rn + 1 and v1.rn = v1_lead.rn - 1 ) select * from v2 where d_year = 2000 and avg_monthly_sales > 0 and case when avg_monthly_sales > 0 then abs(sum_sales - avg_monthly_sales) / avg_monthly_sales else null end > 0.1 order by sum_sales - avg_monthly_sales, nsum limit 100; "
